sentence,name,vshort,short,average,tall,vtall
Delilah is 57.12 cm.,Delilah,1,1.8790291056981333e-7,2.5622976492879134e-8,4.908079121782018e-9,0
Lucinda is 57.13 cm tall.,Lucinda,1,1.880765229618692e-7,2.5641429371122737e-8,4.910953861444256e-9,0
Jonathan is 57.15 cm tall.,Jonathan,1,1.88424289396304e-7,2.5678379996139907e-8,4.916709025331305e-9,0
Sidney is 57.16 cm.,Sidney,1,1.8859844385593005e-7,2.5696877769851023e-8,4.919589452331559e-9,0
Martha is 57.17 cm tall.,Martha,1,1.8877277942243564e-7,2.5715390535677762e-8,4.922471777888489e-9,0
Dolores is 57.18 cm tall.,Dolores,1,1.8894729630510822e-7,2.5733918307122266e-8,4.925356003392605e-9,0
Emily is 57.19 cm.,Emily,1,1.891219947135006e-7,2.575246109770008e-8,4.928242130235558e-9,0
Willis 's height is 57.2 cm.,Willis,1,1.8929687485743334e-7,2.5771018920940118e-8,4.931130159810114e-9,0
Francisco is 57.21 cm tall.,Francisco,1,1.8947193694699252e-7,2.578959179038474e-8,4.934020093510182e-9,0
Olivia is 57.22 cm.,Olivia,1,1.8964718119253204e-7,2.580817971958958e-8,4.936911932730757e-9,0
Damon is 57.23 cm tall.,Damon,1,1.8982260780467328e-7,2.5826782722123987e-8,4.939805678867992e-9,0
Kelly is 57.24 cm.,Kelly,1,1.8999821699430569e-7,2.5845400811570463e-8,4.942701333319132e-9,0
Sylvia is 57.26 cm tall.,Sylvia,1,1.9034998395094142e-7,2.588268230559759e-8,4.9484983727578686e-9,0
Ricky 's height is 57.27 cm.,Ricky,1,1.9052614214106715e-7,2.590134573741097e-8,4.951399760545628e-9,0
Harold is 57.28 cm.,Harold,1,1.9070248375492694e-7,2.592002431060175e-8,4.954303062247623e-9,0
Sabrina is 57.31 cm tall.,Sabrina,1,1.9123261126261033e-7,2.597615101500744e-8,4.963024464873829e-9,0
Kent is 57.32 cm tall.,Kent,1,1.9140968869645643e-7,2.5994890290344402e-8,4.965935436273198e-9,0
Shirley is 57.33 cm.,Shirley,1,1.9158695061791505e-7,2.6013644775444918e-8,4.968848328612665e-9,0
Tiffany is 57.34 cm tall.,Tiffany,1,1.9176439724057462e-7,2.6032414484026797e-8,4.9717631433008085e-9,0
Melody 's height is 57.35 cm.,Melody,1,1.9194202877829615e-7,2.6051199429821628e-8,4.9746798817473205e-9,0
Bridget is 57.36 cm tall.,Bridget,1,1.9211984544521367e-7,2.6069999626574588e-8,4.977598545363069e-9,0
Ashley is 57.37 cm.,Ashley,1,1.9229784745573307e-7,2.608881508804448e-8,4.980519135560019e-9,0
Jesse 's height is 57.38 cm.,Jesse,1,1.9247603502453333e-7,2.610764582800378e-8,4.983441653751295e-9,0
Edwin 's height is 57.39 cm.,Edwin,1,1.9265440836656806e-7,2.6126491860238627e-8,4.986366101351171e-9,0
Felix 's height is 57.4 cm.,Felix,1,1.9283296769706413e-7,2.614535319854884e-8,4.989292479775052e-9,0
Noel is 57.42 cm tall.,Noel,1,1.9319064518571905e-7,2.6183121848663174e-8,4.995151034762134e-9,0
Pablo 's height is 57.43 cm.,Pablo,1,1.93369763775705e-7,2.6202029188135535e-8,4.998083214161853e-9,0
Glenn is 57.45 cm.,Glenn,1,1.9372856172862663e-7,2.623988996518405e-8,5.003953383873569e-9,0
Daryl is 57.46 cm tall.,Daryl,1,1.939082415250434e-7,2.625884343051095e-8,5.006891377028973e-9,0
Diana is 57.47 cm.,Diana,1,1.940881088242116e-7,2.6277812298896366e-8,5.009831310948237e-9,0
Geraldine is 57.48 cm.,Geraldine,1,1.942681638435642e-7,2.6296796584250238e-8,5.012773187055948e-9,0
Dallas is 57.49 cm tall.,Dallas,1,1.9444840680081013e-7,2.631579630049611e-8,5.015717006777814e-9,0
Catherine is 57.5 cm.,Catherine,1,1.9462883791393678e-7,2.6334811461571503e-8,5.018662771540706e-9,0
Julie is 57.51 cm.,Julie,1,1.9480945740120996e-7,2.6353842081427717e-8,5.021610482772662e-9,0
Wendell 's height is 57.53 cm.,Wendell,1,1.9517126237265052e-7,2.639194975335753e-8,5.0275117503616106e-9,0
Kurt is 57.54 cm tall.,Kurt,1,1.953524482947428e-7,2.6411026833403104e-8,5.0304653095804245e-9,0
Lola is 57.55 cm.,Lola,1,1.9553382346683303e-7,2.6430119428173667e-8,5.033420820991945e-9,0
Joey 's height is 57.57 cm.,Joey,1,1.9589714243993447e-7,2.6468351217986958e-8,5.0393377061294304e-9,0
Tracey 's height is 57.58 cm.,Tracey,1,1.960790866811123e-7,2.648749044111312e-8,5.042299082726488e-9,0
Jan 's height is 57.59 cm.,Jan,1,1.962612210526206e-7,2.6506645235131198e-8,5.045262417258414e-9,0
Angel is 57.6 cm tall.,Angel,1,1.9644354577524524e-7,2.652581561411785e-8,5.048227711163628e-9,0
Irene is 57.61 cm.,Irene,1,1.9662606107005538e-7,2.654500159216372e-8,5.051194965881762e-9,0
Shaun is 57.62 cm.,Shaun,1,1.968087671584019e-7,2.6564203183373472e-8,5.0541641828535645e-9,0
Delilah 's height is 57.63 cm.,Delilah,1,1.969916642619179e-7,2.6583420401865817e-8,5.057135363520974e-9,0
Tessa is 57.64 cm.,Tessa,1,1.971747526025212e-7,2.6602653261773493e-8,5.060108509327081e-9,0
Alexandria is 57.65 cm.,Alexandria,1,1.973580324024118e-7,2.662190177724334e-8,5.063083621716171e-9,0
Carole is 57.66 cm tall.,Carole,1,1.975415038840745e-7,2.6641165962436117e-8,5.066060702133655e-9,0
Otis is 57.67 cm tall.,Otis,1,1.9772516727027842e-7,2.6660445831526965e-8,5.069039752026149e-9,0
Franklin is 57.68 cm.,Franklin,1,1.9790902278407765e-7,2.6679741398704825e-8,5.072020772841403e-9,0
Kimberly is 57.69 cm.,Kimberly,1,1.9809307064881063e-7,2.6699052678172942e-8,5.075003766028378e-9,0
Timothy 's height is 57.7 cm.,Timothy,1,1.9827731108810293e-7,2.671837968414865e-8,5.0779887330371815e-9,0
Lila is 57.71 cm tall.,Lila,1,1.9846174432586466e-7,2.673772243086344e-8,5.080975675319106e-9,0
Jesse is 57.72 cm.,Jesse,1,1.9864637058629295e-7,2.6757080932562974e-8,5.08396459432659e-9,0
Sylvia is 57.73 cm.,Sylvia,1,1.9883119009387244e-7,2.6776455203507078e-8,5.0869554915132975e-9,0
Alfonso is 57.74 cm tall.,Alfonso,1,1.9901620307337384e-7,2.679584525796979e-8,5.089948368334019e-9,0
Ruby is 57.75 cm tall.,Ruby,1,1.9920140974985554e-7,2.6815251110239362e-8,5.092943226244741e-9,0
Kimberly is 57.76 cm.,Kimberly,1,1.9938681034866474e-7,2.6834672774618284e-8,5.095940066702644e-9,0
Grace is 57.77 cm.,Grace,1,1.9957240509543734e-7,2.6854110265423272e-8,5.098938891166072e-9,0
Christopher is 57.78 cm tall.,Christopher,1,1.997581942160961e-7,2.6873563596985313e-8,5.101939701094537e-9,0
Charlie is 57.79 cm tall.,Charlie,1,1.9994417793685514e-7,2.6893032783649672e-8,5.104942497948746e-9,0
Jonathan 's height is 57.8 cm.,Jonathan,1,2.001303564842171e-7,2.69125178397759e-8,5.107947283190607e-9,0
Janice is 57.81 cm.,Janice,1,2.0031673008497517e-7,2.6932018779737852e-8,5.110954058283171e-9,0
Annabelle is 57.82 cm.,Annabelle,1,2.005032989662121e-7,2.6951535617923716e-8,5.1139628246906945e-9,0
Wilbur 's height is 57.83 cm.,Wilbur,1,2.0069006335530292e-7,2.697106836873601e-8,5.116973583878633e-9,0
Mitchell is 57.84 cm tall.,Mitchell,1,2.0087702347991247e-7,2.699061704659165e-8,5.119986337313613e-9,0
Jackson is 57.86 cm.,Jackson,1,2.0125153184780896e-7,2.7029762241172066e-8,5.126017832797119e-9,0
Terry is 57.87 cm.,Terry,1,2.0143908054788673e-7,2.704935878680263e-8,5.1290365777848355e-9,0
Franklin 's height is 57.88 cm.,Franklin,1,2.0162682589706595e-7,2.7068971317287752e-8,5.13205732289799e-9,0
Jon is 57.9 cm tall.,Jon,1,2.0200290745953405e-7,2.7108244390792026e-8,5.138104819392082e-9,0
Lucy 's height is 57.91 cm.,Lucy,1,2.0219124413195966e-7,2.7127904962832194e-8,5.14113157372175e-9,0
Kayla is 57.92 cm.,Kayla,1,2.0237977837176232e-7,2.714758157776926e-8,5.144160334074316e-9,0
Lucia 's height is 57.93 cm.,Lucia,1,2.0256851040924655e-7,2.716727425014998e-8,5.147191101927119e-9,0
Earnest 's height is 57.96 cm.,Earnest,1,2.0313589561527387e-7,2.722644875763947e-8,5.156295465278477e-9,0
Caitlin is 57.97 cm.,Caitlin,1,2.0332542115244922e-7,2.7246205805552884e-8,5.159334277929726e-9,0
Elisabeth 's height is 57.98 cm.,Elisabeth,1,2.0351514564327078e-7,2.7265978983861733e-8,5.162375105485968e-9,0
Kelly is 57.99 cm tall.,Kelly,1,2.0370506931982137e-7,2.7285768307200122e-8,5.165417949431733e-9,0
Diego 's height is 58 cm.,Diego,1,2.0389519241448223e-7,2.730557379021658e-8,5.16846281125278e-9,0
Dallas is 58.02 cm tall.,Dallas,1,2.042760377891525e-7,2.7345233293951858e-8,5.174558594469748e-9,0
Katherine 's height is 58.03 cm.,Katherine,1,2.044667605354174e-7,2.736508734404113e-8,5.177609518843215e-9,0
Jesse is 58.04 cm tall.,Jesse,1,2.0465768363230405e-7,2.738495761254961e-8,5.180662467047022e-9,0
Samantha 's height is 58.06 cm.,Samantha,1,2.0504013181375177e-7,2.742474686372663e-8,5.1867744409140286e-9,0
Lynne 's height is 58.07 cm.,Lynne,1,2.0523165736696712e-7,2.7444665875883076e-8,5.189833469564428e-9,0
Jay is 58.08 cm.,Jay,1,2.054233842081157e-7,2.7464601165434766e-8,5.19289452801957e-9,0
Annabelle 's height is 58.09 cm.,Annabelle,1,2.056153125722777e-7,2.7484552747162532e-8,5.195957617776107e-9,0
Corey is 58.1 cm tall.,Corey,1,2.0580744269483537e-7,2.750452063586185e-8,5.199022740331861e-9,0
Joel is 58.11 cm.,Joel,1,2.0599977481147455e-7,2.752450484634326e-8,5.202089897185905e-9,0
Melanie 's height is 58.12 cm.,Melanie,1,2.0619230915818315e-7,2.7544505393431823e-8,5.2051590898384935e-9,0
Kenny 's height is 58.14 cm.,Kenny,1,2.0657798548727676e-7,2.7584555556805316e-8,5.211303588546549e-9,0
Barbara is 58.16 cm tall.,Barbara,1,2.0696447357609423e-7,2.7624671244880364e-8,5.217456248482591e-9,0
Alyssa 's height is 58.17 cm.,Alyssa,1,2.0715802262359975e-7,2.7644753697901598e-8,5.220535642674754e-9,0
Janice is 58.18 cm.,Janice,1,2.0735177532348717e-7,2.766485257679275e-8,5.2236170816927184e-9,0
Bianca is 58.19 cm tall.,Bianca,1,2.07545731913876e-7,2.768496789648303e-8,5.22670056704531e-9,0
Edith is 58.2 cm.,Edith,1,2.077398926331935e-7,2.7705099671916576e-8,5.229786100242562e-9,0
Virgil 's height is 58.21 cm.,Virgil,1,2.0793425772017215e-7,2.7725247918052525e-8,5.2328736827957665e-9,0
Dawn 's height is 58.22 cm.,Dawn,1,2.0812882741385236e-7,2.774541264986478e-8,5.2359633162173974e-9,0
Elmer is 58.23 cm.,Elmer,1,2.0832360195358256e-7,2.77655938823425e-8,5.239055002021191e-9,0
Jared is 58.24 cm.,Jared,1,2.0851858157901833e-7,2.778579163048969e-8,5.242148741722082e-9,0
Elias is 58.25 cm.,Elias,1,2.0871376653012364e-7,2.7806005909325248e-8,5.245244536836272e-9,0
Richard 's height is 58.26 cm.,Richard,1,2.0890915704717208e-7,2.782623673388335e-8,5.248342388881167e-9,0
Jessie is 58.27 cm tall.,Jessie,1,2.0910475337074674e-7,2.7846484119213044e-8,5.251442299375409e-9,0
Kaitlyn 's height is 58.28 cm.,Kaitlyn,1,2.0930055574173934e-7,2.786674808037852e-8,5.254544269838897e-9,0
Darrell 's height is 58.29 cm.,Darrell,1,2.0949656440135258e-7,2.7887028632458858e-8,5.257648301792725e-9,0
Faith 's height is 58.3 cm.,Faith,1,2.0969277959109968e-7,2.7907325790548546e-8,5.2607543967592555e-9,0
Asher is 58.31 cm.,Asher,1,2.098892015528051e-7,2.7927639569756885e-8,5.2638625562620575e-9,0
Devon is 58.32 cm tall.,Devon,1,2.1008583052860384e-7,2.7947969985208406e-8,5.266972781825974e-9,0
Louis is 58.33 cm tall.,Louis,1,2.1028266676094426e-7,2.796831705204293e-8,5.270085074977063e-9,0
Lydia is 58.34 cm.,Lydia,1,2.1047971049258645e-7,2.7988680785415156e-8,5.273199437242632e-9,0
Nathan is 58.35 cm.,Nathan,1,2.1067696196660262e-7,2.8009061200495153e-8,5.2763158701512085e-9,0
Marjorie 's height is 58.37 cm.,Marjorie,1,2.110720891156169e-7,2.804987213653447e-8,5.28255495401783e-9,0
Wendell is 58.38 cm tall.,Wendell,1,2.1126996527832835e-7,2.8070302687909824e-8,5.285677608039161e-9,0
Amy is 58.39 cm tall.,Amy,1,2.1146805015884265e-7,2.8090749981825075e-8,5.288802338830128e-9,0
Ethan is 58.4 cm tall.,Ethan,1,2.1166634400180356e-7,2.811121403352634e-8,5.291929147925501e-9,0
Delaney 's height is 58.41 cm.,Delaney,1,2.1186484705216942e-7,2.8131694858275022e-8,5.295058036861278e-9,0
Lacey 's height is 58.42 cm.,Lacey,1,2.1206355955521604e-7,2.8152192471347817e-8,5.298189007174732e-9,0
Marcia is 58.43 cm tall.,Marcia,1,2.1226248175653406e-7,2.8172706888036776e-8,5.3013220604043736e-9,0
Maureen is 58.44 cm.,Maureen,1,2.1246161390203176e-7,2.8193238123649072e-8,5.304457198089968e-9,0
Sidney 's height is 58.45 cm.,Sidney,1,2.1266095623793455e-7,2.8213786193507564e-8,5.307594421772525e-9,0
Armando 's height is 58.47 cm.,Armando,1,2.130602724674453e-7,2.8254932897330156e-8,5.313875133298901e-9,0
Lydia is 58.48 cm.,Lydia,1,2.1326024685509425e-7,2.8275531562016572e-8,5.317018624231017e-9,0
Pablo 's height is 58.49 cm.,Pablo,1,2.1346043242123116e-7,2.8296147122393433e-8,5.320164207336704e-9,0
Benjamin 's height is 58.5 cm.,Benjamin,1,2.136608294136736e-7,2.8316779593860398e-8,5.3233118841632575e-9,0
Lincoln is 58.51 cm.,Lincoln,1,2.1386143808056044e-7,2.833742899183247e-8,5.326461656259243e-9,0
Sheila 's height is 58.52 cm.,Sheila,1,2.1406225867035006e-7,2.8358095331740314e-8,5.32961352517446e-9,0
Kerry is 58.54 cm.,Kerry,1,2.1446453661407662e-7,2.839947889916233e-8,5.335923559668187e-9,0
Lorraine is 58.55 cm tall.,Lorraine,1,2.1466599446653688e-7,2.8420196157615115e-8,5.339081728352625e-9,0
Lucinda 's height is 58.58 cm.,Lucinda,1,2.1527164654420915e-7,2.848245001789702e-8,5.348568858818362e-9,0
Mallory is 58.6 cm tall.,Mallory,1,2.156764825342819e-7,2.8524037817463212e-8,5.354904148383035e-9,0
Carla is 58.61 cm.,Carla,1,2.1587922166392005e-7,2.8544857331724164e-8,5.358074958621432e-9,0
Beth is 58.62 cm.,Beth,1,2.160821752187678e-7,2.8565693943079853e-8,5.361247881246731e-9,0
Sherry 's height is 58.63 cm.,Sherry,1,2.162853434508372e-7,2.858654766713195e-8,5.364422917822686e-9,0
Terry is 58.64 cm.,Terry,1,2.1648872661246783e-7,2.8607418519497787e-8,5.367600069914311e-9,0
Lydia 's height is 58.65 cm.,Lydia,1,2.1669232495632384e-7,2.8628306515810423e-8,5.37077933908792e-9,0
Jade 's height is 58.66 cm.,Jade,1,2.168961387353972e-7,2.864921167171843e-8,5.373960726911064e-9,0
Shelly 's height is 58.67 cm.,Shelly,1,2.171001682030067e-7,2.8670134002886425e-8,5.377144234952602e-9,0
Evan is 58.68 cm.,Evan,1,2.1730441361279923e-7,2.8691073524994408e-8,5.380329864782638e-9,0
Florence is 58.69 cm tall.,Florence,1,2.1750887521874887e-7,2.8712030253738294e-8,5.3835176179726e-9,0
Melvin is 58.7 cm.,Melvin,1,2.1771355327515977e-7,2.8733004204829886e-8,5.386707496095163e-9,0
Clara is 58.71 cm tall.,Clara,1,2.179184480366638e-7,2.8753995393996494e-8,5.389899500724299e-9,0
Alexander is 58.72 cm tall.,Alexander,1,2.181235597582229e-7,2.877500383698142e-8,5.3930936334352375e-9,0
Randolph is 58.73 cm.,Randolph,1,2.1832888869512975e-7,2.8796029549543738e-8,5.396289895804537e-9,0
Peyton 's height is 58.74 cm.,Peyton,1,2.1853443510300628e-7,2.8817072547458334e-8,5.399488289409994e-9,0
Ryan is 58.75 cm tall.,Ryan,1,2.187401992378055e-7,2.883813284651597e-8,5.4026888158307105e-9,0
Jeremy 's height is 58.76 cm.,Jeremy,1,2.189461813558127e-7,2.8859210462523282e-8,5.405891476647091e-9,0
Lucinda is 58.77 cm.,Lucinda,1,2.1915238171364496e-7,2.888030541130276e-8,5.409096273440806e-9,0
Billy is 58.78 cm.,Billy,1,2.1935880056825065e-7,2.890141770869284e-8,5.412303207794832e-9,0
Madison 's height is 58.79 cm.,Madison,1,2.195654381769116e-7,2.8922547370547842e-8,5.4155122812934035e-9,0
Simon is 58.81 cm tall.,Simon,1,2.1997937068719527e-7,2.8964858851149702e-8,5.421936852067742e-9,0
Lucia is 58.83 cm tall.,Lucia,1,2.2039418130942357e-7,2.9007239980262134e-8,5.428369998463718e-9,0
Roy is 58.84 cm.,Roy,1,2.206019165592718e-7,2.902845670281532e-8,5.4315897914942285e-9,0
Gage is 58.85 cm tall.,Gage,1,2.2080987211388164e-7,2.9049690885294794e-8,5.434811733202005e-9,0
Tracey is 58.86 cm.,Tracey,1,2.2101804823287883e-7,2.9070942543666827e-8,5.438035825180388e-9,0
Gabrielle is 58.87 cm.,Gabrielle,1,2.2122644517622406e-7,2.909221169391381e-8,5.441262069023978e-9,0
Marissa is 58.9 cm tall.,Marissa,1,2.21852963557022e-7,2.9156124255968754e-8,5.450953727711869e-9,0
Jim is 58.91 cm tall.,Jim,1,2.220622464041222e-7,2.9177463533860563e-8,5.45418859498863e-9,0
Malcolm is 58.92 cm tall.,Malcolm,1,2.2227175138044365e-7,2.9198820383780528e-8,5.4574256221232785e-9,0
Catherine is 58.93 cm.,Catherine,1,2.2248147874797658e-7,2.9220194821807726e-8,5.460664810718245e-9,0
Ronnie is 58.94 cm.,Ronnie,1,2.226914287690519e-7,2.9241586864037427e-8,5.463906162377284e-9,0
Kate is 58.95 cm.,Kate,1,2.2290160170634165e-7,2.9262996526581104e-8,5.4671496787054734e-09,0
Benjamin 's height is 58.96 cm.,Benjamin,1,2.2311199782285768e-7,2.9284423825566448e-8,5.4703953613091875e-9,0
Susan is 58.97 cm.,Susan,1,2.2332261738195318e-7,2.93058687771374e-8,5.473643211796089e-9,0
Brad is 59 cm tall.,Brad,1,2.239558193533874e-7,2.937030970904713e-8,5.483399786652586e-9,0
Patti is 59.01 cm.,Patti,1,2.2416733532318407e-7,2.939182543272522e-8,5.486656324775417e-9,0
Megan is 59.03 cm tall.,Megan,1,2.2459104182164797e-7,2.943491009697156e-8,5.4931759304607e-9,0
Ben is 59.04 cm tall.,Ben,1,2.248032328814839e-7,2.9456479070039672e-8,5.496439001255605e-9,0
Alexis is 59.05 cm tall.,Alexis,1,2.2501564950307773e-7,2.9478065825431594e-8,5.499704252842559e-9,0
Kathryn is 59.07 cm tall.,Kathryn,1,2.2544116049767552e-7,2.952129274836688e-8,5.506241304872036e-9,0
Ryan is 59.08 cm tall.,Ryan,1,2.256542554046155e-7,2.954293294854129e-8,5.509513108557611e-9,0
Johnnie is 59.09 cm.,Johnnie,1,2.2586757694118438e-7,2.9564590996301704e-8,5.512787099521339e-9,0
Bruce 's height is 59.1 cm.,Bruce,1,2.260811253752184e-7,2.9586266908004665e-8,5.516063279388037e-9,0
Vivian is 59.11 cm.,Vivian,1,2.2629490097490187e-7,2.9607960700023514e-8,5.5193416497838885e-9,0
Armando 's height is 59.12 cm.,Armando,1,2.2650890400876798e-7,2.962967238874779e-8,5.522622212336367e-9,0
Anita is 59.13 cm tall.,Anita,1,2.2672313474569816e-7,2.9651401990583728e-8,5.525904968674321e-9,0
Annabelle is 59.15 cm tall.,Annabelle,1,2.271522804060309e-7,2.9694914999298162e-8,5.53247706922861e-9,0
Jean 's height is 59.16 cm.,Jean,1,2.2736719586894793e-7,2.9716698439071854e-8,5.5357664167092435e-9,0
Tara is 59.18 cm.,Tara,1,2.2779771341170436e-7,2.9760319271814655e-8,5.5423517142483355e-9,0
Erica is 59.19 cm.,Erica,1,2.28013316033167e-7,2.978215669777862e-8,5.5456476675790975e-9,0
Jason is 59.22 cm tall.,Jason,1,2.2866150255504333e-7,2.984777721235964e-8,5.555548765478412e-9,0
Leigh is 59.23 cm tall.,Leigh,1,2.28878025188324e-7,2.986968685130225e-8,5.558853549550029e-9,0
Zane 's height is 59.24 cm.,Zane,1,2.2909477850556375e-7,2.9891614584920795e-8,5.562160545412326e-9,0
Hanna 's height is 59.25 cm.,Hanna,1,2.2931176277987458e-7,2.991356042982106e-8,5.56546975471021e-9,0
Diana is 59.26 cm tall.,Diana,1,2.2952897828472368e-7,2.993552440262591e-8,5.5687811790899005e-9,0
Jeffrey is 59.27 cm.,Jeffrey,1,2.297464252939353e-7,2.9957506519974796e-8,5.572094820198964e-9,0
Cristina is 59.28 cm.,Cristina,1,2.2996410408168917e-7,2.997950679852407e-8,5.5754106796863455e-9,0
Harry is 59.3 cm tall.,Harry,1,2.304001580913323e-7,3.002356190593281e-8,5.582049060398451e-9,0
Grady 's height is 59.31 cm.,Grady,1,2.3061853386337074e-7,3.004561676818921e-8,5.5853715849277644e-9,0
Iris is 59.34 cm.,Iris,1,2.312750595567795e-7,3.011189078990111e-8,5.595352515064804e-9,0
Manuel 's height is 59.36 cm.,Manuel,1,2.317139114310138e-7,3.0156164834445536e-8,5.602017615520834e-9,0
May is 59.37 cm tall.,May,1,2.319336886228777e-7,3.017832931611288e-8,5.605353514837497e-9,0
Antonio 's height is 59.38 cm.,Antonio,1,2.3215370035481964e-7,3.0200512126471777e-8,5.608691649096096e-9,0
Brent is 59.39 cm.,Brent,1,2.3237394690497773e-7,3.022271328236457e-8,5.612032019960476e-9,0
Diego is 59.4 cm.,Diego,1,2.325944285518531e-7,3.024493280065064e-8,5.615374629095832e-9,0
Candace 's height is 59.41 cm.,Candace,1,2.3281514557430923e-7,3.0267170698206416e-8,5.618719478168705e-9,0
Kristina 's height is 59.42 cm.,Kristina,1,2.3303609825157533e-7,3.0289426991925375e-8,5.6220665688470285e-9,0
Joel is 59.45 cm tall.,Joel,1,2.3370037300998105e-7,3.035630641925255e-8,5.632121307214421e-9,0
Cheryl 's height is 59.46 cm.,Cheryl,1,2.3392227110606308e-7,3.037863646690107e-8,5.635477381021125e-9,0
Braden is 59.47 cm tall.,Braden,1,2.3414440625857168e-7,3.0400984995436716e-8,5.638835704793405e-9,0
Dolores 's height is 59.48 cm.,Dolores,1,2.3436677874893003e-7,3.042335202185594e-8,5.642196280207416e-9,0
Loren is 59.5 cm.,Loren,1,2.3481223687072365e-7,3.046814163641577e-8,5.64892419267201e-9,0
Kelsey is 59.51 cm tall.,Kelsey,1,2.3503532306684368e-7,3.049056425863495e-8,5.65229153308176e-9,0
Elliot is 59.53 cm tall.,Elliot,1,2.354822111440101e-7,3.0535465218277903e-8,5.6590329906643645e-9,0
Anne 's height is 59.54 cm.,Anne,1,2.357060135919571e-7,3.055794358988368e-8,5.662407111204639e-9,0
Bailey 's height is 59.55 cm.,Bailey,1,2.3593005535803197e-7,3.0580440578829396e-8,5.6657834951581485e-9,0
Roberta 's height is 59.56 cm.,Roberta,1,2.361543367266123e-7,3.060295620224927e-8,5.669162144212041e-9,0
Mia 's height is 59.57 cm.,Mia,1,2.3637885798244666e-7,3.062549047729506e-8,5.672543060054863e-9,0
Jeremy 's height is 59.58 cm.,Jeremy,1,2.366036194106576e-7,3.064804342113584e-8,5.67592624437656e-9,0
Vicki 's height is 59.59 cm.,Vicki,1,2.3682862129673884e-7,3.067061505095807e-8,5.67931169886845e-9,0
Meredith is 59.61 cm tall.,Meredith,1,2.3727934758635793e-7,3.071581443737975e-8,5.686089425134972e-9,0
Sylvester is 59.63 cm tall.,Sylvester,1,2.377310391427361e-7,3.076108877440025e-8,5.692876252412739e-9,0
Jewel is 59.64 cm.,Jewel,1,2.3795724761367258e-7,3.0783754092536484e-8,5.6962730831738844e-9,0
Frederick 's height is 59.65 cm.,Frederick,1,2.3818369826330485e-7,3.080643820013917e-8,5.699672194282306e-9,0
Georgia is 59.66 cm tall.,Georgia,1,2.3841039137975234e-7,3.0829141114516856e-8,5.7030735874390334e-9,0
Cole is 59.67 cm tall.,Cole,1,2.386373272515112e-7,3.085186285299599e-8,5.706477264346533e-9,0
Rosalie is 59.68 cm.,Rosalie,1,2.388645061674555e-7,3.087460343292023e-8,5.709883226708627e-9,0
Gilbert is 59.69 cm tall.,Gilbert,1,2.3909192841683647e-7,3.089736287165096e-8,5.713291476230583e-9,0
Heather is 59.7 cm.,Heather,1,2.3931959428928564e-7,3.09201411865673e-8,5.716702014619037e-9,0
Vincent is 59.72 cm tall.,Vincent,1,2.397756580638072e-7,3.09657545145605e-8,5.723529964829029e-9,0
Eleanor is 59.73 cm.,Eleanor,1,2.400040565470398e-7,3.098858956248354e-8,5.726947380070873e-9,0
Colton 's height is 59.74 cm.,Colton,1,2.402326998156608e-7,3.101144355628442e-8,5.730367091019808e-9,0
Jonah is 59.75 cm tall.,Jonah,1,2.4046158816120293e-7,3.103431651343039e-8,5.733789099389497e-9,0
Saul is 59.76 cm tall.,Saul,1,2.406907218755803e-7,3.1057208451406415e-8,5.7372134068950224e-9,0
Quentin is 59.79 cm tall.,Quentin,1,2.41379598156611e-7,3.112599832543123e-8,5.747500141398407e-9,0
Tyrone is 59.8 cm tall.,Tyrone,1,2.416097162731333e-7,3.114896636193254e-8,5.75093366262614e-9,0
Bessie 's height is 59.82 cm.,Bessie,1,2.420706933028635e-7,3.1194959658091196e-8,5.757807630002103e-9,0
Diego is 59.83 cm tall.,Diego,1,2.423015528048929e-7,3.12179849529498e-8,5.7612480795988425e-9,0
Delilah is 59.84 cm tall.,Delilah,1,2.4253266002488985e-7,3.1241029369158526e-8,5.764690842102782e-9,0
Joanna is 59.85 cm tall.,Joanna,1,2.4276401525823037e-7,3.126409292436269e-8,5.768135919241698e-9,0
Vera is 59.86 cm.,Vera,1,2.429956188006798e-7,3.128717563622552e-8,5.771583312744816e-9,0
Gertrude is 59.87 cm.,Gertrude,1,2.4322747094838967e-7,3.131027752242823e-8,5.775033024342744e-9,0
Mona 's height is 59.88 cm.,Mona,1,2.434595719979011e-7,3.1333398600669776e-8,5.77848505576756e-9,0
Ramon is 59.89 cm tall.,Ramon,1,2.4369192224614414e-7,3.135653888866747e-8,5.781939408752728e-9,0
Cody is 59.9 cm tall.,Cody,1,2.4392452199043877e-7,3.137969840415622e-8,5.785396085033171e-9,0
Frankie is 59.91 cm.,Frankie,1,2.4415737152849417e-7,3.1402877164889135e-8,5.788855086345197e-9,0
Tasha 's height is 59.92 cm.,Tasha,1,2.443904711584122e-7,3.142607518863748e-8,5.7923164144265764e-9,0
Byron is 59.93 cm.,Byron,1,2.446238211786842e-7,3.1449292493190293e-8,5.795780071016481e-9,0
Julia is 59.94 cm tall.,Julia,1,2.448574218881943e-7,3.1472529096354874e-8,5.799246057855525e-9,0
Phillip is 59.95 cm.,Phillip,1,2.450912735862198e-7,3.149578501595656e-8,5.802714376685772e-9,0
Erin is 59.96 cm tall.,Erin,1,2.453253765724299e-7,3.1519060269838815e-8,5.8061850292507e-9,0
Katie is 59.97 cm.,Katie,1,2.455597311468873e-7,3.154235487586322e-8,5.809658017295201e-9,0
